Id;EngineSize;FuelType;FuelConsumptionCity;FuelConsumptionHwy;FuelConsumptionComb;FuelConsumptionCombMpg;CO2Emissions
1;2;Z;9.9;6.7;8.5;33;196
2;2.4;Z;11.2;7.7;9.6;29;221
3;1.5;Z;6;5.8;5.9;48;136
4;3.5;Z;12.7;9.1;11.1;25;255
5;3.5;Z;12.1;8.7;10.6;27;244
6;3.5;Z;11.9;7.7;10;28;230
7;3.5;Z;11.8;8.1;10.1;28;232
8;3.7;Z;12.8;9;11.1;25;255
9;3.7;Z;13.4;9.5;11.6;24;267
10;2.4;Z;10.6;7.5;9.2;31;212
11;2.4;Z;11.2;8.1;9.8;29;225
12;3.5;Z;12.1;8.3;10.4;27;239
13;1.8;Z;9.7;6.9;8.4;34;193
14;5.9;Z;18;12.6;15.6;18;359
15;5.9;Z;18;12.6;15.6;18;359
16;4.7;Z;17.4;11.3;14.7;19;338
17;4.7;Z;18.1;12.2;15.4;18;354
18;4.7;Z;17.4;11.3;14.7;19;338
19;4.7;Z;18.1;12.2;15.4;18;354
20;5.9;Z;18;12.6;15.6;18;359
21;2;Z;9.9;7.4;8.8;32;202
22;2;Z;11.5;8.1;10;28;230
23;2;Z;10.8;7.5;9.3;30;214
24;2;Z;11.5;8.1;10;28;230
25;2;Z;11.5;8.1;10;28;230
26;2;Z;10.8;7.5;9.3;30;214
27;2;Z;12;8.1;10.2;28;235
28;3;Z;12.8;8.6;10.9;26;251
29;3;D;9.8;6.2;8.1;35;217
30;3;Z;13.3;8.5;11.2;25;262
31;3;D;9.8;6.2;8.1;35;217
32;3;Z;13.1;8.8;11.2;25;258
33;4;Z;13.7;8.3;11.3;25;265
34;3;D;9.8;6.5;8.4;34;224
35;3;Z;13.1;8.8;11.2;25;258
36;4;Z;14.7;9.7;12.5;23;288
37;6.3;Z;18.7;11.5;15.5;18;363
38;3;D;9.8;6.5;8.4;34;224
39;2;Z;11.8;8.8;10.5;27;242
40;2;Z;12;8.5;10.4;27;239
41;3;Z;12.9;9.2;11.2;25;258
42;3;D;10.2;7.8;9;31;244
43;2;Z;9.9;8.3;9.2;31;212
44;3;Z;15.1;10.9;13.2;21;304
45;3;D;12.4;8.7;10.7;26;290
46;4.2;Z;17.6;11;14.6;19;336
47;4.2;Z;21.2;13.4;17.7;16;407
48;5.2;Z;18.2;10.6;14.8;19;347
49;5.2;Z;21.1;13.8;17.8;16;409
